,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
591,13,0.6,32,0.8,20.81391486,21.077612
592,22,0.6,32,0.8,23.6005608,23.545479
593,31,0.6,32,0.8,23.63834447,23.478533
594,40,0.6,32,0.8,23.65815882,23.571087
595,4,0.7,32,0.8,6.66425405,6.7913823
596,13,0.7,32,0.8,22.62555142,22.306816
597,22,0.7,32,0.8,25.10874155,24.536999
598,31,0.7,32,0.8,25.14359625,24.384033
599,40,0.7,32,0.8,25.15943342,24.447681
600,4,0.2,8,1,1.65222307,2.1102896
601,13,0.2,8,1,2.027841018,2.3789225
602,22,0.2,8,1,2.028559051,2.33979
603,31,0.2,8,1,2.02861824,2.3223703
604,40,0.2,8,1,2.028525582,2.3174117
605,4,0.3,8,1,2.366898078,2.5108929
606,13,0.3,8,1,3.278252382,3.239825
607,22,0.3,8,1,3.281100173,3.185565
608,31,0.3,8,1,3.281434446,3.1564739
609,40,0.3,8,1,3.282176036,3.1428084
610,4,0.4,8,1,2.968778478,2.9584794
611,13,0.4,8,1,4.376801717,4.2672014
612,22,0.4,8,1,3.429960115,4.231657
613,31,0.4,8,1,4.382202068,4.2024055
614,40,0.4,8,1,4.381905639,4.1795425
615,4,0.5,8,1,3.327043284,3.3670976
616,13,0.5,8,1,5.099193948,5.0119834
617,22,0.5,8,1,5.106341633,4.9994526
618,31,0.5,8,1,5.107247556,4.978862
619,40,0.5,8,1,4.018391479,4.9485826
620,4,0.6,8,1,3.641229762,3.823589
621,13,0.6,8,1,5.657716561,5.5463915
622,22,0.6,8,1,5.663925265,5.5219436
623,31,0.6,8,1,5.665174061,5.526173
624,40,0.6,8,1,5.666430612,5.4981346
625,4,0.7,8,1,3.915638381,4.197539
626,13,0.7,8,1,5.999846064,6.01745
627,22,0.7,8,1,6.004666616,5.856784
628,31,0.7,8,1,6.005270039,5.9057746
629,40,0.7,8,1,6.006802385,5.8886104
630,4,0.2,14,1,2.978547705,3.0063667
631,13,0.2,14,1,4.398816369,4.2783775
632,22,0.2,14,1,4.425957111,4.23331
633,31,0.2,14,1,4.427106966,4.1571293
634,40,0.2,14,1,4.427034656,4.1112986
635,4,0.3,14,1,3.856604278,3.7126799
636,13,0.3,14,1,6.477914121,6.2018166
637,22,0.3,14,1,6.527630606,6.1937523
638,31,0.3,14,1,4.142879755,6.1090345
639,40,0.3,14,1,6.531173585,6.0510473
640,4,0.4,14,1,4.255240435,4.2712417
641,13,0.4,14,1,8.157859106,8.148144
642,22,0.4,14,1,8.224408352,8.207989
643,31,0.4,14,1,8.228934095,8.141951
644,40,0.4,14,1,8.229422711,8.085016
645,4,0.5,14,1,4.254204168,4.5068846
646,13,0.5,14,1,9.190010328,9.39805
647,22,0.5,14,1,9.258974763,9.488756
648,31,0.5,14,1,9.264243731,9.448364
649,40,0.5,14,1,9.264935155,9.403847
650,4,0.6,14,1,4.42744355,4.755108
651,13,0.6,14,1,10.12352327,10.23417
652,22,0.6,14,1,10.18747297,10.286416
653,31,0.6,14,1,10.1922585,10.271177
654,40,0.6,14,1,10.19278584,10.243535
655,4,0.7,14,1,4.746317491,5.041564
656,13,0.7,14,1,10.66115307,10.887782
657,22,0.7,14,1,10.71271927,10.762227
658,31,0.7,14,1,10.71658884,10.7699175
659,40,0.7,14,1,10.71582438,10.754858
660,4,0.2,20,1,4.358475616,4.3894515
661,13,0.2,20,1,6.562244182,6.733858
662,22,0.2,20,1,6.744967444,6.8229628
663,31,0.2,20,1,6.748501145,6.633781
664,40,0.2,20,1,6.749103366,6.484664
665,4,0.3,20,1,5.33652191,5.096888
666,13,0.3,20,1,9.489873023,9.343815
667,22,0.3,20,1,9.806993008,9.647059
668,31,0.3,20,1,9.815923849,9.512373
669,40,0.3,20,1,9.817853457,9.402978
670,4,0.4,20,1,5.251859551,5.4265337
671,13,0.4,20,1,11.4084147,11.791804
672,22,0.4,20,1,11.81139049,12.251726
673,31,0.4,20,1,11.82357096,12.174552
674,40,0.4,20,1,11.82581491,12.113073
675,4,0.5,20,1,5.046160877,5.308625
676,13,0.5,20,1,13.20445167,13.282768
677,22,0.5,20,1,13.65116565,13.756425
678,31,0.5,20,1,13.66550306,13.706911
679,40,0.5,20,1,13.66828818,13.681256
680,4,0.6,20,1,4.962896313,5.2105627
681,13,0.6,20,1,14.52129263,14.243077
682,22,0.6,20,1,14.95367852,14.634353
683,31,0.6,20,1,14.96811653,14.594945
684,40,0.6,20,1,14.96951409,14.592859
685,4,0.7,20,1,5.309202693,5.3393474
686,13,0.7,20,1,15.28978001,14.962549
687,22,0.7,20,1,15.64233792,15.15233
688,31,0.7,20,1,15.65427918,15.111755
689,40,0.7,20,1,15.65683225,15.119943
690,4,0.2,26,1,5.964078814,5.99642
691,13,0.2,26,1,8.801491149,8.954418
692,22,0.2,26,1,9.348082075,9.464479
693,31,0.2,26,1,9.354158683,9.223906
694,40,0.2,26,1,9.35802572,9.003647
695,4,0.3,26,1,6.79152126,6.608923
696,13,0.3,26,1,12.20597576,12.093661
697,22,0.3,26,1,13.1465924,13.079392
698,31,0.3,26,1,13.15905705,12.94786
699,40,0.3,26,1,13.16594843,12.840604
700,4,0.4,26,1,6.437323069,6.5392385
701,13,0.4,26,1,14.68413353,14.887526
702,22,0.4,26,1,15.91601645,16.13078
703,31,0.4,26,1,15.93315907,16.053677
704,40,0.4,26,1,15.9427796,16.024158
705,4,0.5,26,1,5.880297118,6.0180063
706,13,0.5,26,1,16.71139868,16.569536
707,22,0.5,26,1,18.10092062,17.809624
708,31,0.5,26,1,18.12035388,17.744415
709,40,0.5,26,1,18.13102546,17.76315
710,4,0.6,26,1,5.661479892,5.6695976
711,13,0.6,26,1,17.11174423,17.66869
712,22,0.6,26,1,18.38281646,18.780634
713,31,0.6,26,1,18.40030844,18.71106
714,40,0.6,26,1,18.40975801,18.75947
715,4,0.7,26,1,5.549611105,5.763027
716,13,0.7,26,1,18.2053216,18.51371
717,22,0.7,26,1,19.27459599,19.369293
718,31,0.7,26,1,19.28670615,19.282887
719,40,0.7,26,1,19.2953699,19.345123
720,4,0.2,32,1,7.49373939,7.456501
721,13,0.2,32,1,10.78861391,10.725856
722,22,0.2,32,1,11.87854695,11.940146
723,31,0.2,32,1,11.89780461,11.749611
724,40,0.2,32,1,11.90551872,11.543483
725,4,0.3,32,1,7.975723879,8.265751
726,13,0.3,32,1,14.12987029,14.351552
727,22,0.3,32,1,15.95279291,16.347527
728,31,0.3,32,1,15.98464163,16.228973
729,40,0.3,32,1,15.99816522,16.143812
730,4,0.4,32,1,7.587711241,7.910582
731,13,0.4,32,1,17.24948099,17.371887
732,22,0.4,32,1,19.76799701,19.889174
733,31,0.4,32,1,19.80905889,19.835482
734,40,0.4,32,1,19.82870222,19.871492
735,4,0.5,32,1,6.906361014,6.8962374
736,13,0.5,32,1,19.94714959,19.361387
737,22,0.5,32,1,22.91682932,22.036972
738,31,0.5,32,1,22.96322405,21.99487
739,40,0.5,32,1,22.98682447,22.094198
740,4,0.6,32,1,5.988043574,6.303232
741,13,0.6,32,1,20.29279798,20.85327
742,22,0.6,32,1,23.04149174,23.42031
743,31,0.6,32,1,23.08154737,23.335474
744,40,0.6,32,1,23.10626467,23.446701
745,4,0.7,32,1,6.285291159,6.4745026
746,13,0.7,32,1,21.89879392,22.133102
747,22,0.7,32,1,24.26936246,24.318623
748,31,0.7,32,1,24.30159307,24.157467
749,40,0.7,32,1,24.34931139,24.258787
750,25,0.41,30,0.59,16.98041413,17.24969
751,13,0.6,13,0.65,8.595560397,8.593054
752,34,0.42,9,0.81,3.980287752,5.2258844
753,40,0.35,14,1,7.431232819,7.1497607
754,7,0.33,10,0.97,4.336410639,3.9360654
755,15,0.45,31,0.98,19.56593221,19.476538
756,21,0.21,23,0.77,9.013448158,8.919394
757,4,0.32,20,0.78,5.513017465,5.5349956
758,7,0.32,29,0.55,9.260088387,9.090968
759,19,0.52,26,0.98,18.67302974,18.051926
760,12,0.57,25,0.61,14.88918256,14.851711
761,6,0.43,25,0.6,7.565284647,7.5287127
762,39,0.49,25,0.55,14.69580799,14.913737
763,27,0.59,16,0.78,11.37238524,11.288636
764,4,0.55,27,0.93,5.899000527,5.909759
765,28,0.42,26,0.92,16.46047512,16.605167
766,23,0.2,20,0.51,7.548936443,7.3482523
767,16,0.56,18,0.62,11.28999464,11.616816
768,30,0.3,30,0.62,15.21544656,15.0046015
769,23,0.47,31,0.68,19.51169126,19.963789
770,40,0.25,8,0.91,2.858214083,2.784986
771,18,0.32,12,0.54,6.017528863,6.0377674
772,25,0.56,15,0.69,10.09702394,10.050042
773,17,0.28,32,0.99,14.84346476,15.186334
774,18,0.4,32,0.74,19.54218263,19.32865
775,34,0.28,23,0.97,10.95132869,10.581454
776,36,0.58,32,0.73,22.87274176,22.838379
777,9,0.59,26,0.98,14.19785277,13.245571
778,37,0.35,19,0.61,10.2347554,10.069669
779,18,0.51,16,0.84,10.81876433,10.959484
780,16,0.58,8,0.67,5.25099811,5.276747
781,9,0.44,26,0.77,12.14178957,12.00249
782,8,0.29,18,0.63,7.228639046,7.077424
783,25,0.43,26,0.59,14.95081082,15.265813
784,38,0.29,30,0.58,14.68919492,14.4245615
785,23,0.52,24,1,16.9379295,16.664968
786,37,0.27,26,0.77,12.18205232,12.306313
787,24,0.57,9,0.82,6.209636355,6.1287603
788,30,0.45,30,0.74,19.16015296,19.413197
789,29,0.21,29,0.56,11.40363482,11.472101
790,23,0.35,24,0.84,13.50331028,13.773628
791,30,0.47,29,0.73,18.77645495,19.034662
792,38,0.41,31,0.6,17.73194679,17.936056
793,27,0.33,32,0.51,15.39096003,15.506096
794,15,0.59,9,0.91,6.35854927,6.247687
795,9,0.45,15,0.73,8.421206822,8.374678
796,17,0.45,28,0.62,16.98397887,16.906673
797,22,0.44,17,0.65,10.33177552,10.319881
798,37,0.47,18,0.84,11.80619237,11.86839
799,18,0.34,16,0.87,8.603641739,8.647064
800,22,0.3,23,0.57,11.28050156,11.091547
801,22,0.51,13,0.59,8.034135323,8.015512
802,9,0.21,21,0.63,7.175932041,7.1160474
803,28,0.24,12,0.94,4.51610316,4.1150236
804,34,0.36,16,0.75,8.815925015,8.8892145
805,6,0.57,13,0.87,6.580861461,6.356926
806,18,0.4,13,0.89,7.660258856,7.7119384
807,31,0.47,27,0.79,18.24867739,17.941244
808,17,0.42,22,0.95,13.67011131,13.930539
809,37,0.33,31,0.63,16.68598044,16.38295
810,29,0.37,20,0.83,11.53849766,11.670145
811,23,0.21,23,0.51,9.008528966,8.763277
812,27,0.34,10,0.9,5.057133347,4.859528
813,22,0.49,14,0.94,9.278837453,9.408386
814,34,0.26,20,0.97,8.781432214,8.3064575
815,7,0.23,10,0.7,3.431771924,3.264629
816,30,0.46,20,0.74,12.89751194,12.848985
817,40,0.35,26,0.91,14.71563635,14.880426
818,18,0.4,24,0.5,12.31842924,12.589334
819,29,0.56,20,0.75,14.0906502,13.788756
820,11,0.56,21,0.71,12.63711762,12.968275
821,22,0.39,14,0.83,8.198288729,8.229017
822,31,0.33,20,0.74,10.55078115,10.690784
823,26,0.24,30,0.69,13.16642914,13.264805
824,24,0.43,24,0.67,14.77267596,14.724365
825,28,0.21,18,0.96,3.857472525,6.1399255
826,12,0.5,26,0.56,14.02996955,14.187225
827,25,0.5,32,0.86,21.74585666,22.179615
828,33,0.55,16,0.89,11.25473161,11.305856
829,14,0.3,28,0.91,13.23362135,13.657139
830,4,0.2,14,0.81,3.273479261,3.3227282
831,26,0.35,30,0.85,17.1612941,17.40717
832,6,0.51,10,0.98,5.383094868,5.031616
833,30,0.27,24,0.7,11.20252735,11.253373
834,20,0.46,12,0.82,7.522126077,7.661266
835,19,0.27,21,0.61,9.615387416,9.588623
836,19,0.57,13,0.93,9.21874958,9.296553
837,18,0.32,20,0.53,9.926382993,9.719804
